home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,is_main_line,main_line,gameweek,home_team,away_team
Bournemouth,Arsenal,corners_total,12.5,0.160265,0.839735,5.8833687428587815,1.0988656555327747,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.339735,False,9.5,20,Bournemouth,Arsenal
Leeds United,Manchester united,corners_total,7.5,0.68863,0.31137000000000004,1.369237604481743,2.8598673530833345,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.18862999999999996,False,9.5,20,Leeds United,Manchester united
Leeds United,Manchester united,corners_total,8.5,0.5639583333333333,0.43604166666666666,1.6719286440917847,2.0751694868738784,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.06395833333333334,False,9.5,20,Leeds United,Manchester united
Leeds United,Manchester united,corners_total,9.5,0.43789333333333336,0.5621066666666666,2.1532597548282593,1.6244635202726443,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.06210666666666664,True,9.5,20,Leeds United,Manchester united
Leeds United,Manchester united,corners_total,10.5,0.32196,0.67804,2.9286187463481874,1.3540189472615771,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.17803999999999998,False,9.5,20,Leeds United,Manchester united
Leeds United,Manchester united,corners_total,11.5,0.225105,0.774895,4.188703456494803,1.188689418768879,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.274895,False,9.5,20,Leeds United,Manchester united
Leeds United,Manchester united,corners_total,12.5,0.14909,0.85091,6.3243550310165855,1.0847385737558883,9.20490338358654,4.487718539762818,4.7171848438237225,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.35091,False,9.5,20,Leeds United,Manchester united
Everton,Brentford,corners_total,7.5,0.7535433333333333,0.24645666666666666,1.2512858250676968,3.56097352264346,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.25354333333333334,False,9.5,20,Everton,Brentford
Everton,Brentford,corners_total,8.5,0.64039,0.35961,1.4723810358910392,2.494835804646828,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.14039000000000001,False,9.5,20,Everton,Brentford
Everton,Brentford,corners_total,9.5,0.51887,0.48112999999999995,1.8172145076305481,1.8878352759392414,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.018870000000000053,True,9.5,20,Everton,Brentford
Everton,Brentford,corners_total,10.5,0.399635,0.600365,2.359398179774701,1.5240113217191733,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.10036499999999998,False,9.5,20,Everton,Brentford
Everton,Brentford,corners_total,11.5,0.29346833333333333,0.7065316666666667,3.212946626521644,1.300797399576543,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.20653166666666667,False,9.5,20,Everton,Brentford
Everton,Brentford,corners_total,12.5,0.20518333333333333,0.7948166666666667,4.595393184506194,1.159567149538721,9.860565735724633,4.975736655093425,4.884829080631207,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.29481666666666667,False,9.5,20,Everton,Brentford
Newcastle,Crystal palace,corners_total,7.5,0.811495,0.18850500000000003,1.1619271733951073,4.558698334952026,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.31149499999999997,False,10.5,20,Newcastle,Crystal palace
Newcastle,Crystal palace,corners_total,8.5,0.7122883333333333,0.2877116666666667,1.3237589996199048,3.080947408532133,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.2122883333333333,False,10.5,20,Newcastle,Crystal palace
Newcastle,Crystal palace,corners_total,9.5,0.5994333333333334,0.4005666666666666,1.5729824137923527,2.250908885495239,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.09943333333333337,False,10.5,20,Newcastle,Crystal palace
Newcastle,Crystal palace,corners_total,10.5,0.48087166666666664,0.5191283333333334,1.9608102471711362,1.7543652043084625,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.01912833333333336,True,10.5,20,Newcastle,Crystal palace
Newcastle,Crystal palace,corners_total,11.5,0.36883666666666665,0.6311633333333333,2.5564109449736447,1.451744201031888,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.13116333333333335,False,10.5,20,Newcastle,Crystal palace
Newcastle,Crystal palace,corners_total,12.5,0.27022,0.72978,3.489371962009705,1.2603736998340338,10.557880182978886,6.282344194677876,4.2755359883010104,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.22977999999999998,False,10.5,20,Newcastle,Crystal palace
Tottenham,Sunderland,corners_total,7.5,0.7875166666666666,0.21248333333333336,1.1973055701351454,4.085112101440327,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.28751666666666664,False,10.5,20,Tottenham,Sunderland
Tottenham,Sunderland,corners_total,8.5,0.68322,0.31677999999999995,1.3800797569952028,2.813697781297556,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.18322000000000005,False,10.5,20,Tottenham,Sunderland
Tottenham,Sunderland,corners_total,9.5,0.5660766666666667,0.4339233333333333,1.6656720672245737,2.084889484420057,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.06607666666666667,False,10.5,20,Tottenham,Sunderland
Tottenham,Sunderland,corners_total,10.5,0.44737666666666664,0.5526233333333334,2.10761571138622,1.651445288833705,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.052623333333333355,True,10.5,20,Tottenham,Sunderland
Tottenham,Sunderland,corners_total,11.5,0.33680666666666664,0.6631933333333333,2.7995232425355674,1.3835156185996837,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.16319333333333336,False,10.5,20,Tottenham,Sunderland
Tottenham,Sunderland,corners_total,12.5,0.24201333333333333,0.7579866666666667,3.896058446811178,1.2145793157235811,10.251549454712336,6.3033199733346486,3.9482294813776875,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.2579866666666667,False,10.5,20,Tottenham,Sunderland
Fulham,Liverpool,corners_total,7.5,0.7344133333333334,0.26558666666666664,1.2838793207833863,3.3210389004604517,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.23441333333333336,False,9.5,20,Fulham,Liverpool
Fulham,Liverpool,corners_total,8.5,0.6164233333333333,0.3835766666666667,1.5296275150317626,2.346062688480447,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.11642333333333332,False,9.5,20,Fulham,Liverpool
Fulham,Liverpool,corners_total,9.5,0.492245,0.507755,1.915505676186173,1.7922925023199094,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.007755000000000012,True,9.5,20,Fulham,Liverpool
Fulham,Liverpool,corners_total,10.5,0.3739616666666667,0.6260383333333333,2.521376321746692,1.4632906867154536,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.1260383333333333,False,9.5,20,Fulham,Liverpool
Fulham,Liverpool,corners_total,11.5,0.2692083333333333,0.7307916666666667,3.5024847852936545,1.258671602270447,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.23079166666666667,False,9.5,20,Fulham,Liverpool
Fulham,Liverpool,corners_total,12.5,0.18408333333333332,0.8159166666666666,5.122126346261274,1.130239050758335,9.645018374158234,4.3851302100480565,5.259888164110176,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.3159166666666667,False,9.5,20,Fulham,Liverpool
Manchester city,Chelsea,corners_total,7.5,0.6905833333333333,0.3094166666666667,1.3653646794848742,2.876911844574032,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.19058333333333333,False,9.5,20,Manchester city,Chelsea
Manchester city,Chelsea,corners_total,8.5,0.56718,0.43282,1.6624318409927406,2.0899882949620343,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.06718000000000002,False,9.5,20,Manchester city,Chelsea
Manchester city,Chelsea,corners_total,9.5,0.4419033333333333,0.5580966666666667,2.1337202515805025,1.6357643496469014,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.058096666666666685,True,9.5,20,Manchester city,Chelsea
Manchester city,Chelsea,corners_total,10.5,0.3253066666666667,0.6746933333333334,2.8984899117989054,1.3605576166806157,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.1746933333333333,False,9.5,20,Manchester city,Chelsea
Manchester city,Chelsea,corners_total,11.5,0.22725666666666666,0.7727433333333333,4.14904480209277,1.1919225748988578,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.27274333333333334,False,9.5,20,Manchester city,Chelsea
Manchester city,Chelsea,corners_total,12.5,0.15075666666666668,0.8492433333333334,6.2544371165958115,1.0868224295877678,9.227632553130203,5.009015254469747,4.2186172986604555,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.34924333333333335,False,9.5,20,Manchester city,Chelsea
