home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,implied_p_over,implied_p_under,over_price_boost,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_squeeze,alpha_pre_uncertainty,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,calib_temp,calib_rows,gameweek,home_team,away_team
Chelsea,Leeds United,corners_total,11.5,0.24539666666666668,0.7546033333333333,4.075034977383556,1.3251995529660174,3.773180534614403,1.2270366231166827,0.26502840000000005,0.8149716,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
Chelsea,Leeds United,corners_total,12.5,0.16655,0.83345,6.004202942059441,1.1998320235167077,5.5594471685735565,1.1109555773302848,0.179874,0.9001260000000001,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
Everton,Bournemouth,corners_total,7.5,0.7920666666666667,0.2079333333333333,1.26251998989984,4.809233728759218,1.168999990648,4.452994193295572,0.8554320000000001,0.224568,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
Everton,Bournemouth,corners_total,8.5,0.6890733333333333,0.3109266666666667,1.4512243496096207,3.216192456956624,1.3437262496385376,2.9779559786635406,0.7441992000000001,0.33580080000000007,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
Everton,Bournemouth,corners_total,9.5,0.573975,0.426025,1.742236160111503,2.3472800891966434,1.6131816297328732,2.173407489996892,0.619893,0.46010700000000004,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
Everton,Bournemouth,corners_total,10.5,0.457105,0.542895,2.187681167346671,1.8419768095119682,2.0256307105061766,1.705534082881452,0.49367340000000004,0.5863266,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
Everton,Bournemouth,corners_total,11.5,0.347825,0.652175,2.875008984403076,1.533330777782037,2.662045355928774,1.4197507201685529,0.375651,0.704349,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
Everton,Bournemouth,corners_total,12.5,0.25264166666666665,0.7473583333333333,3.958175281195369,1.338046229497229,3.664977112217934,1.2389316939789157,0.272853,0.8071470000000001,0.0,0.08,0.08000000000000007,10.347633977184383,9.84,4.486565535230055,5.861068441954328,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,30.854297815181063,0,0,0,0.3301012235984029,0.31191971485507236,0.3579790615465247,3.0293738057044823,3.205953174407816,2.7934594712881973,3.271723710160841,3.4624294283604415,3.0169362289912534,1.3091855834246282,1.1321563373815857,2.441341920806214,2.9,1010,26,Everton,Bournemouth
West Ham United,Manchester United,corners_total,7.5,0.74743,0.25256999999999996,1.337917932114044,3.959298412321337,1.2388129001055963,3.6660170484456827,0.8072244000000001,0.27277559999999995,0.0,0.08,0.08000000000000007,9.821951983542295,9.84,4.58110001927975,5.2408519642625455,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.676911816359542,30.76262300746837,0,0,0,0.38152581615367775,0.296286652293266,0.3221875315530563,2.6210546119301195,3.375109854797627,3.1037824312432303,2.8307389808845294,3.645118643181437,3.3520850257426886,1.370936033053482,1.8059873190632432,3.1769233521167255,2.9,1010,26,West Ham United,Manchester United
West Ham United,Manchester United,corners_total,8.5,0.6341216666666667,0.3658783333333333,1.5769844377919062,2.7331489976176053,1.4601707757332465,2.5306935163125974,0.6848514000000001,0.3951486,0.0,0.08,0.08000000000000007,9.821951983542295,9.84,4.58110001927975,5.2408519642625455,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.676911816359542,30.76262300746837,0,0,0,0.38152581615367775,0.296286652293266,0.3221875315530563,2.6210546119301195,3.375109854797627,3.1037824312432303,2.8307389808845294,3.645118643181437,3.3520850257426886,1.370936033053482,1.8059873190632432,3.1769233521167255,2.9,1010,26,West Ham United,Manchester United
