timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1726340400,Sep 14 2024 - 7:00pm,complete,N/A,PSG,Brest,Clément Turpin,4,3,0,2.59,1,3,1,4,2,1,1,"42,73,74",29,9,1,2,0,3,0,2,0,1,2,16,3,9,3,7,0,7,13,67,33,2.68,1.07,2.18,0.57,4,0,100,50,50,50,100,100,50,50,12,4,1.3,5.75,8.5,1.13,1.4,2.2,3.6,1.8,1.95,Parc des Princes (Paris)
1726405200,Sep 15 2024 - 1:00pm,complete,N/A,Rennes,Lorient,Jérémie Pignard,4,3,0,1.65,0.18,3,0,3,2,2,0,"24,35,60",,3,4,1,0,3,0,1,0,1,2,11,8,6,4,5,4,10,7,51,49,2.08,0.72,1.54,1.08,4.5,0,100,100,50,50,100,100,50,100,9,6,1.58,4.05,5,1.16,1.62,2.6,4.5,1.67,2.1,Roazhon Park (Rennes)
1726412400,Sep 15 2024 - 3:00pm,complete,N/A,Nantes,Metz,Willy Delajod,4,3,1,1.24,1,1,2,3,2,1,1,28,"34,90'1",6,3,3,0,1,0,1,2,0,1,11,9,6,4,5,5,14,5,45,55,1.26,0.97,1.48,1.22,3,50,100,50,50,0,0,100,50,100,7,3,2.24,3.35,2.86,1.25,1.95,3.3,6.5,1.7,2.05,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1726412400,Sep 15 2024 - 3:00pm,complete,N/A,Toulouse,Le Havre,Eric Wattellier,4,0.5,3,1.18,1.35,2,0,2,0,0,0,"70,86",,6,5,1,0,1,0,0,1,0,1,11,4,7,3,4,1,10,11,54,46,0.91,1.45,1.5,0.71,2,25,75,25,25,0,25,25,75,75,10,6.5,1.78,3.55,4.25,1.32,1.98,3.5,6.5,1.8,1.95,Stadium de Toulouse (Toulouse)
1726412400,Sep 15 2024 - 3:00pm,complete,N/A,Strasbourg,Angers SCO,Hakim Ben El Hadj,4,3,0,2.06,1.12,1,1,2,1,1,0,31,62,6,9,4,0,1,0,2,2,0,1,9,7,5,2,4,5,11,14,51,49,1.12,0.56,1.15,0.96,3,50,100,50,50,0,0,100,50,100,4,4,1.73,3.6,4.45,1.3,1.97,3.4,6.5,1.91,1.91,Stade de la Meinau (Strasbourg)
1726425900,Sep 15 2024 - 6:45pm,complete,N/A,Lens,Olympique Lyonnais,Bastien Dechepy,4,3,0,1.35,1.29,0,0,0,0,0,0,,,5,8,0,0,0,0,0,0,0,0,11,4,5,3,6,1,12,11,54,46,1.9,1.21,1.49,0.81,2.5,0,100,50,0,0,100,100,0,50,12,5,1.79,3.75,4.17,1.19,1.63,2.57,4.5,1.62,2.2,Stade Bollaert-Delelis (Lens)
1726857900,Sep 20 2024 - 6:45pm,complete,N/A,Nice,Paris,Thomas Léonard,5,1,0,2.18,0.53,8,0,8,6,6,0,"4,7,24,26,36,39,75,86",,3,2,0,0,1,0,0,0,1,0,16,6,12,2,4,4,7,13,60,40,1.03,0.8,2.1,0.72,2.25,50,75,25,25,0,25,50,75,75,7,7,1.64,3.95,5.3,1.25,1.8,3.1,5.45,1.8,1.95,Allianz Riviera (Nice)
1726930800,Sep 21 2024 - 3:00pm,complete,N/A,Lille,Strasbourg,Jérôme Brisard,5,1.5,0.5,2.18,1.29,3,3,6,4,2,2,"15,27,84","30,42,66",9,5,2,0,2,0,0,2,1,1,13,10,7,9,6,1,16,12,64,36,1.34,1.24,1.77,1.4,3.75,75,100,50,50,25,50,75,75,100,6,4.5,1.7,3.6,5,1.28,1.91,3.2,6,1.91,1.91,Decathlon Arena - Stade Pierre-Mauroy (Villeneuve d'Ascq)
1726938000,Sep 21 2024 - 5:00pm,complete,N/A,Rennes,Lens,Jeremy Stinat,5,3,2,1.65,1.71,1,1,2,1,1,0,24,90'6,4,3,2,0,4,0,1,1,1,3,9,5,6,2,3,3,16,20,40,60,1.81,1.19,1.21,0.85,2.25,25,75,50,0,0,50,75,25,75,10,3.5,2.35,3.3,2.97,1.33,1.98,3.6,7,1.8,1.95,Roazhon Park (Rennes)
1726945200,Sep 21 2024 - 7:00pm,complete,N/A,Metz,PSG,Jérémie Pignard,5,1.5,3,0.94,2.35,1,1,2,1,1,0,9,68,3,5,2,0,1,0,1,1,1,0,4,9,1,4,3,5,11,6,22,78,0.82,1.69,0.46,1.44,3.5,75,100,75,50,25,50,100,50,100,6,4,6,5,1.44,1.16,1.55,2.3,4,1.7,2.05,Stade Auguste-Delaune (Metz)
