home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,gameweek,home_team,away_team
Crystal Palace,Aston Villa,corners_total,10.5,0.370545,0.629455,2.6987275499601937,1.588675918056096,2.4988218055186975,1.470996220422311,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
Crystal Palace,Aston Villa,corners_total,11.5,0.27786,0.72214,3.598934715324264,1.3847730356994488,3.332346958633578,1.2821972552772674,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
Crystal Palace,Aston Villa,corners_total,12.5,0.19916,0.80084,5.02108857200241,1.2486888766794866,4.649156085187416,1.1561934043328577,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
Crystal Palace,Aston Villa,1X2,,,,,,,,0.08,-0.07407407407407418,,,,,,,0,61.800000000000004,61.800000000000004,,,,0.28749,0.12058,0.59193,3.478381856760235,8.29324929507381,1.6893889480175022,3.756652405301054,8.956709238679714,1.8245400638589024,4.1758616525289085,5.394324577652184,9.570186230181093,21,Crystal Palace,Aston Villa
Everton,Wolverhampton Wanderers,corners_total,7.5,0.67112,0.32887999999999995,1.4900464894504708,3.0406227195329607,1.3796726754171025,2.8153914069749635,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,corners_total,8.5,0.557275,0.44272500000000004,1.7944461890449062,2.2587384945507933,1.6615242491156539,2.091424531991475,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,corners_total,9.5,0.44339,0.55661,2.255350819820023,1.7965900720432617,2.088287796129651,1.663509325965983,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,corners_total,10.5,0.339915,0.660085,2.941911948575379,1.5149564071293848,2.7239925449772024,1.4027374140086895,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,corners_total,11.5,0.250405,0.749595,3.9935304806213936,1.3340537223433988,3.697713407982772,1.2352349280957395,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,corners_total,12.5,0.178075,0.821925,5.615611399691141,1.2166560209264836,5.199640184899205,1.1265333527097068,0.08,0.08000000000000007,9.285611809989854,8.904979785535943,5.423381594438103,3.862230215551751,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Everton,Wolverhampton Wanderers
Everton,Wolverhampton Wanderers,1X2,,,,,,,,0.08,-0.07407407407407407,,,,,,,0,61.800000000000004,61.800000000000004,,,,0.635075,0.11752,0.247405,1.5746171712002521,8.509189925119129,4.041955498069966,1.7005865448962723,9.18992511912866,4.365311937915563,5.423381594438103,3.862230215551751,9.285611809989854,21,Everton,Wolverhampton Wanderers
Manchester City,Brighton & Hove Albion,corners_total,7.5,0.68674,0.31326,1.456155167894691,3.1922364808785035,1.3482918221247135,2.955774519331948,0.08,0.08000000000000007,9.480757585022772,8.904979785535943,6.3229827505923035,3.157774834430468,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Manchester City,Brighton & Hove Albion
