home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,implied_p_over,implied_p_under,over_price_boost,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,calib_temp,calib_rows,gameweek,home_team,away_team
Manchester United,Tottenham,corners_total,10.5,0.44593,0.5540700000000001,2.2425044289462472,1.8048261050047827,2.0763929897650435,1.6711352824118355,0.48160440000000004,0.5983956000000001,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
Manchester United,Tottenham,corners_total,11.5,0.34967,0.6503300000000001,2.859839277032631,1.5376808697122997,2.647999330585769,1.423778583066944,0.3776436,0.7023564000000001,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
Manchester United,Tottenham,corners_total,12.5,0.26474,0.73526,3.777290926947194,1.3600631069281615,3.4974915990251794,1.2593176916001494,0.2859192,0.7940808,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
Manchester United,Tottenham,1X2,,,,,,,,,,,0.08,-0.07407407407407407,,,,,,,,27.205609821828592,27.174670823231203,,,,0.31374969017187465,0.2926012097464347,0.3936491000816907,3.1872541434294064,3.417620866525432,2.5403335096980495,3.442234474903759,3.6910305358474673,2.7435601904738935,1.9795580029296886,1.3776545845475487,3.357212587477237,2.9,1000.0,25,Manchester United,Tottenham
Wolverhampton Wanderers,Chelsea,corners_total,7.5,0.70788,0.29212000000000005,1.412668813923264,3.42325071888265,1.3080266795585775,3.169676591558009,0.7645104,0.3154896000000001,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
Wolverhampton Wanderers,Chelsea,corners_total,8.5,0.60105,0.39895,1.6637550952499793,2.5065797719012406,1.540513977083314,2.320907196204852,0.649134,0.4308660000000001,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
Wolverhampton Wanderers,Chelsea,corners_total,9.5,0.494445,0.505555,2.0224696376745643,1.978024151674892,1.8726570719208928,1.8315038441434184,0.5340006,0.5459994,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
Wolverhampton Wanderers,Chelsea,corners_total,10.5,0.39079,0.60921,2.558919112566852,1.641470100622117,2.3693695486730104,1.5198797227982566,0.4220532000000001,0.6579468,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
Wolverhampton Wanderers,Chelsea,corners_total,11.5,0.299685,0.700315,3.3368370121961397,1.4279288605841656,3.0896639001816104,1.322156352392746,0.3236598,0.7563402,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
Wolverhampton Wanderers,Chelsea,corners_total,12.5,0.222705,0.7772950000000001,4.490244942861634,1.2865128426144512,4.1576342063533644,1.191215595013381,0.2405214,0.8394786000000001,0.0,0.08,0.08000000000000007,9.75907529107459,9.062189935034358,3.4844089096607305,6.2746663814138595,0.06350209107057349,0.08890292749880288,1.0,27.25911723072062,27.215440010399682,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Wolverhampton Wanderers,Chelsea
