home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,gameweek
Burnley,Newcastle,7.5,0.80556,0.19443999999999995,1.2413724613933164,5.142974696564495,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Burnley,Newcastle,8.5,0.7241,0.27590000000000003,1.3810247203424941,3.6245016310257334,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Burnley,Newcastle,9.5,0.63218,0.36782000000000004,1.581827960391028,2.7187211135881677,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Burnley,Newcastle,10.5,0.53526,0.46474000000000004,1.8682509434667265,2.151740758273443,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Burnley,Newcastle,11.5,0.44134,0.5586599999999999,2.2658268001993926,1.7899974940035086,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Burnley,Newcastle,12.5,0.35474,0.64526,2.8189660032700004,1.5497628862783996,11.272569187368656,8.917420722300552,4.857822605523269,6.414746581845386,0.07842234653324034,0.10979128514653648,1,33.2,59.8,19
Chelsea,Bournemouth,7.5,0.76968,0.23031999999999997,1.2992412431140214,4.3417853421326855,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Chelsea,Bournemouth,8.5,0.67124,0.32876000000000005,1.489780108455992,3.0417325708723686,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Chelsea,Bournemouth,9.5,0.56674,0.43326,1.7644775382009386,2.308082906337996,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Chelsea,Bournemouth,10.5,0.46204,0.53796,2.164314777941304,1.858874265744665,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Chelsea,Bournemouth,11.5,0.36234,0.63766,2.759838825412596,1.5682338550324624,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Chelsea,Bournemouth,12.5,0.2752,0.7248,3.633720930232558,1.379690949227373,10.44786758448062,8.917420722300552,5.861964597183019,4.585902987297602,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,7.5,0.66518,0.33482,1.503352476021528,2.9866794098321487,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,8.5,0.55058,0.44942000000000004,1.81626648261833,2.225090116149704,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,9.5,0.43814,0.56186,2.2823754964166705,1.7798027978499982,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,10.5,0.33696,0.6630400000000001,2.9677113010446345,1.508204633204633,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,11.5,0.24804,0.75196,4.031607805192711,1.3298579711686793,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Arsenal,Aston Villa,12.5,0.17618,0.82382,5.676013168350551,1.213857396033114,9.246630804345605,8.917420722300552,6.112912556567787,3.1337182477778183,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,7.5,0.72954,0.27046000000000003,1.3707267593277956,3.6974044220956883,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,8.5,0.6262,0.3738,1.5969338869370808,2.675227394328518,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,9.5,0.51982,0.48018000000000005,1.9237428340579432,2.082552376192261,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,10.5,0.41294,0.58706,2.4216593209667265,1.7034033999931864,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,11.5,0.31526,0.68474,3.171985028230667,1.4604083301691153,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Manchester United,Wolverhampton Wanderers,12.5,0.2363,0.7637,4.231908590774439,1.30941469163284,9.979361570633392,8.917420722300552,6.365717881663289,3.6136436889701025,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Crystal Palace,Fulham,7.5,0.67392,0.32608000000000004,1.4838556505223173,3.0667320902845923,9.36051017209212,8.917420722300552,4.392172415283388,4.968337756808731,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Crystal Palace,Fulham,8.5,0.56316,0.43684,1.7756942964699198,2.2891676586393186,9.36051017209212,8.917420722300552,4.392172415283388,4.968337756808731,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
