home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,alpha,gameweek
Arsenal,Brighton & Hove Albion,7.5,0.6352,0.3648,1.5743073047858942,2.7412280701754383,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Arsenal,Brighton & Hove Albion,8.5,0.52078,0.47922,1.920196628134721,2.0867242602562497,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Arsenal,Brighton & Hove Albion,9.5,0.41074,0.58926,2.4346301796757075,1.6970437497878694,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Arsenal,Brighton & Hove Albion,10.5,0.31118,0.68882,3.213574137155344,1.45175807903371,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Arsenal,Brighton & Hove Albion,11.5,0.22606,0.77394,4.423604352826683,1.2920898260847096,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Arsenal,Brighton & Hove Albion,12.5,0.15818,0.84182,6.321911746112025,1.1879024019386566,8.993149606597456,8.827641769039918,6.213489324551328,2.7796602820461285,0.0772879341618186,18
Brentford,AFC Bournemouth,7.5,0.80954,0.19045999999999996,1.2352694122588135,5.2504462879344755,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Brentford,AFC Bournemouth,8.5,0.72396,0.27603999999999995,1.3812917840764682,3.6226633821185343,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Brentford,AFC Bournemouth,9.5,0.62736,0.37263999999999997,1.5939811272634532,2.6835551738943755,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Brentford,AFC Bournemouth,10.5,0.52428,0.47572000000000003,1.9073777370870528,2.1020768519297066,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Brentford,AFC Bournemouth,11.5,0.42502,0.57498,2.35283045503741,1.7391909283801175,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Brentford,AFC Bournemouth,12.5,0.33138,0.66862,3.017683626048645,1.4956178397295923,11.055777784874053,8.827641769039918,5.131745380544212,5.924032404329842,0.0772879341618186,18
Chelsea,Aston Villa,7.5,0.71262,0.28737999999999997,1.4032724313098144,3.4797132716264185,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Chelsea,Aston Villa,8.5,0.6041,0.39590000000000003,1.655355073663301,2.525890376357666,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Chelsea,Aston Villa,9.5,0.49292,0.50708,2.028726771078471,1.9720754121637611,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Chelsea,Aston Villa,10.5,0.38272,0.61728,2.612876254180602,1.6200103680663556,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Chelsea,Aston Villa,11.5,0.2892,0.7108,3.457814661134163,1.4068655036578503,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Chelsea,Aston Villa,12.5,0.21058,0.78942,4.748789058790009,1.2667528058574649,9.72465447810091,8.827641769039918,5.453234869676938,4.271419608423971,0.0772879341618186,18
Sunderland,Leeds United,7.5,0.29414,0.7058599999999999,3.3997416196369072,1.4167115291984247,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Sunderland,Leeds United,8.5,0.1946,0.8054,5.138746145940391,1.2416190712689348,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Sunderland,Leeds United,9.5,0.11982,0.88018,8.345852111500584,1.1361312458815243,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Sunderland,Leeds United,10.5,0.07132,0.92868,14.021312394840159,1.0767971744842142,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Sunderland,Leeds United,11.5,0.0408,0.9592,24.509803921568626,1.042535446205171,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Sunderland,Leeds United,12.5,0.02204,0.97796,45.37205081669691,1.0225367090678554,6.198112959861822,8.827641769039918,2.6571480753577177,3.540964884504105,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,7.5,0.8186,0.1814,1.221597849987784,5.512679162072767,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,8.5,0.73458,0.26542,1.3613221160390971,3.7676135935498456,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,9.5,0.63864,0.36136,1.5658273831892773,2.767323444764224,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,10.5,0.53836,0.46164000000000005,1.8574931272754291,2.1661901048436007,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,11.5,0.43736,0.56264,2.2864459484177795,1.7773354187402246,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
Crystal Palace,Tottenham Hotspur,12.5,0.34458,0.65542,2.9020836960937952,1.525739220652406,11.210999548770403,8.827641769039918,5.240923406177629,5.970076142592775,0.0772879341618186,18
